learning_material_id,source_title,grade,source_url,source_key,image_page,image_url,local_path,file_size_bytes,status,notes
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0023,https://cdn3.olm.vn/upload/taphuan/4699918592-page-23-1775787604107.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0023.png,720703,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0024,https://cdn3.olm.vn/upload/taphuan/4699918592-page-24-1775787604421.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0024.png,739316,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0025,https://cdn3.olm.vn/upload/taphuan/4699918592-page-25-1775787604774.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0025.png,766908,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0026,https://cdn3.olm.vn/upload/taphuan/4699918592-page-26-1775787605083.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0026.png,672083,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0027,https://cdn3.olm.vn/upload/taphuan/4699918592-page-27-1775787605414.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0027.png,926188,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0028,https://cdn3.olm.vn/upload/taphuan/4699918592-page-28-1775787605696.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0028.png,403646,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0029,https://cdn3.olm.vn/upload/taphuan/4699918592-page-29-1775787606001.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0029.png,951021,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0030,https://cdn3.olm.vn/upload/taphuan/4699918592-page-30-1775787606297.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0030.png,734204,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0031,https://cdn3.olm.vn/upload/taphuan/4699918592-page-31-1775787606598.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0031.png,540598,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0032,https://cdn3.olm.vn/upload/taphuan/4699918592-page-32-1775787606921.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0032.png,505636,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
LM-SGK-TIN6-4699918592,SGK Tin học 6,6,https://taphuan.nxbgd.vn/tap-huan/doc-sach/sgk-tin-hoc-6.4699918592,4699918592,0033,https://cdn3.olm.vn/upload/taphuan/4699918592-page-33-1775787607252.png,experiments/20260705_215045/source_scope/raw_page_images/SGK_TIN6/page_0033.png,628317,downloaded,Ảnh raw đã lưu để bảo toàn nguồn SGK Tin học THCS; chưa xử lý trong P02 bản thu gọn.
